Id,Titulo,Modelo,Marca,Estrelas,Avaliacoes,Url
#1689316, 25.6-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#GFE26JYMFS,GE ,4.5,1909,https://www.lowes.com/pd/LG-25-5-cu-ft-Bottom-Freezer-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Printproof-Stainless-Steel-ENERGY-STAR/1002543648
#1341469, InstaView 27-cu ft French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#LFCS27596S,LG ,4.5,106,https://www.lowes.com/pd/Whirlpool-17-6-cu-ft-Top-Freezer-Refrigerator-Monochromatic-Stainless-Steel/1000249051
#912756, 24.5-cu ft Side-by-Side Refrigerator with Ice Maker (White),#WRS325SDHW,Whirlpool ,4.5,3778,https://www.lowes.com/pd/LG-20-2-cu-ft-Top-Freezer-Refrigerator-Stainless-Steel-ENERGY-STAR/1001840510
#1341474, 28-cu ft French Door Refrigerator with Dual Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#RF28R6241SR,Samsung ,3.5,125,https://www.lowes.com/pd/Bosch-800-21-cu-ft-4-Door-Counter-depth-French-Door-Refr/1001330226
#912754, 24.5-cu ft Side-by-Side Refrigerator with Ice Maker (Black),#WRS325SDHB,Whirlpool ,4.5,3778,https://www.lowes.com/pd/GE-21-9-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000842434
#1689317, 27.8-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#GFE28GYNFS,GE ,4.5,3600,https://www.lowes.com/pd/Haier-9-8-cu-ft-Top-Freezer-Refrigerator-Stainless/1000366389
#1697384, 25.5-cu ft Bottom-Freezer Refrigerator with Ice Maker (Fingerprint-Resistant Printproof Stainless Steel) ENERGY STAR,#LRDCS2603S,LG ,4.0,197,https://www.lowes.com/pd/Maytag-24-9-cu-ft-Side-by-Side-Refrigerator-Fingerprint-Resistant-Stainless-Steel/1002648582
#773091, 17.6-cu ft Top-Freezer Refrigerator with Optional Compatible EZ Connect Ice Maker Kit - Stainless Steel,#WRT518SZFM,Whirlpool ,4.5,2236,https://www.lowes.com/pd/Samsung-21-1-cu-ft-Top-Freezer-Refrigerator-Stainless-Steel-ENERGY-STAR/1000217721
#1631946, 20.2-cu ft Top-Freezer Refrigerator (Stainless Steel) ENERGY STAR,#LTCS20020S,LG ,4.0,53,https://www.lowes.com/pd/Samsung-27-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002683282
#1424449, 800 21-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#B36CL80ENS,Bosch ,5.0,196,https://www.lowes.com/pd/LG-InstaView-26-8-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Platinum-Silver/1002543654
#1262485, 21.9-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),#GZS22IYNFS,GE ,4.5,1022,https://www.lowes.com/pd/GE-16-6-cu-ft-Top-Freezer-Refrigerator-White-ENERGY-STAR/1001079844
#970844, 9.8-cu ft Top-Freezer Refrigerator (Stainless),#HA10TG21SS,Haier ,4.5,943,https://www.lowes.com/pd/LG-InstaView-22-6-cu-ft-Counter-Depth-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002194900
#1689420, 24.9-cu ft Side-by-Side Refrigerator (Fingerprint-Resistant Stainless Steel),#MSS25N4MKZ,Maytag ,4.5,67,https://www.lowes.com/pd/Frigidaire-22-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Black/1000245225
#847229, 21.1-cu ft Top-Freezer Refrigerator (Stainless Steel) ENERGY STAR,#RT21M6213SR,Samsung ,4.0,197,https://www.lowes.com/pd/Whirlpool-18-2-cu-ft-Top-Freezer-Refrigerator-White/50285239
#1697395, 27-cu ft French Door Refrigerator with Dual Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#RF27T5241SR,Samsung ,4.0,42,https://www.lowes.com/pd/Hotpoint-15-6-cu-ft-Top-Freezer-Refrigerator-White/1001079810
#1697387, InstaView 26.8-cu ft Side-by-Side Refrigerator with Ice Maker (Platinum Silver),#LRSES2706V,LG ,3.5,19,N/D
#1418795, 16.6-cu ft Top-Freezer Refrigerator (White) ENERGY STAR,#GTE17DTNRWW,GE ,4.5,277,N/D
#887474, InstaView 22.6-cu ft Counter-Depth French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#LFCC23596S,LG ,4.5,100,N/D
#852865, 22-cu ft Side-by-Side Refrigerator with Ice Maker (Black),#LFSS2312TE,Frigidaire ,4.5,1629,N/D
#623781, 18-cu ft Top-Freezer Refrigerator - White (Ice Maker Kit Sold Separately),#WRT318FZDW,Whirlpool ,4.5,3678,N/D
#1418794, 15.6-cu ft Top-Freezer Refrigerator (White),#HPS16BTNRWW,Hotpoint ,4.5,398,N/D
#1966864, Family Hub Family Hub 25.1-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,#RF262BEAESR,Samsung ,4.0,9,https://www.lowes.com/pd/Samsung-Family-Hub-Family-Hub-24-2-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1002692824
#623782, 18.2-cu ft Top-Freezer Refrigerator (Monochromatic Stainless Steel),#WRT318FZDM,Whirlpool ,4.5,3678,https://www.lowes.com/pd/Whirlpool-18-2-cu-ft-Top-Freezer-Refrigerator-Monochromatic-Stainless-Steel/50285241
#1296070, InstaView Smart Wi-Fi Enabled 27.6-cu ft 4-Door French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#LMXS28596S,LG ,4.5,63,https://www.lowes.com/pd/LG-InstaView-Smart-Wi-Fi-Enabled-27-6-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000852986
#1295703, Food Showcase 28-cu ft 4-Door French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,#RF28R7351SG,Samsung ,4.0,565,https://www.lowes.com/pd/Samsung-Food-Showcase-28-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000854746
#623783, 20.5-cu ft Top-Freezer Refrigerator with Optional Ice Maker Kit - Black,#WRT311FZDB,Whirlpool ,4.5,5235,https://www.lowes.com/pd/Whirlpool-20-5-cu-ft-Top-Freezer-Refrigerator-Black/50297735
#1295702, Food Showcase 28-cu ft 4-Door French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#RF28R7351SR,Samsung ,4.0,565,https://www.lowes.com/pd/Samsung-Food-Showcase-28-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000854710
#1418793, 27.8-cu ft French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel),#GFD28GYNFS,GE ,4.5,1493,https://www.lowes.com/pd/GE-27-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel/1000940212
